area,metric_id,metric_name,definition,source,frequency,status,notes
website,website_visits,Визиты сайта,Количество посещений dmitryefremov.com,analytics,weekly,needs_validation,Нужен доступ к аналитике сайта
website,website_cta_clicks,Клики "Начать",Клики по основному CTA на сайте,analytics,weekly,needs_validation,На сайте есть CTA "Начать"
website,website_leads,Заявки с сайта,Количество входящих обращений с сайта,crm_or_email,weekly,needs_validation,
youtube,youtube_subscribers,Подписчики YouTube,Количество подписчиков канала,youtube_studio,weekly,needs_validation,Нужен импорт из YouTube Studio или публичный снимок
youtube,youtube_avg_views,Средние просмотры YouTube,Среднее число просмотров на видео за период,youtube_studio,weekly,needs_validation,
youtube,youtube_retention,Удержание YouTube,Среднее удержание аудитории,youtube_studio,monthly,needs_validation,
instagram,instagram_followers,Подписчики Instagram,Количество подписчиков профиля,instagram_insights,weekly,needs_validation,
instagram,instagram_engagement_rate,Engagement rate Instagram,"(лайки + комментарии + сохранения + репосты) / охват",instagram_insights,weekly,needs_validation,
instagram,instagram_reach,Охват Instagram,Количество аккаунтов, увидевших контент,instagram_insights,weekly,needs_validation,
business,consultation_requests,Заявки на консультацию,Количество запросов на консультацию,crm_or_manual,weekly,needs_validation,
business,consultation_to_project,Конверсия консультация -> проект,Доля консультаций, ставших проектами,manual,monthly,needs_validation,
brand,approved_photo_count,Утвержденные фото,Количество фото со статусом approved,photo_catalog,monthly,draft,
content,content_ideas_count,Идеи контента,Количество идей в контентной базе,content_files,monthly,draft,
mvp_course,north_star_metric,"North Star Metric","Одна главная метрика ценности продукта",imported_mvp_metrics_course,per_project,imported,
mvp_course,aarrr_pirate_metrics,"AARRR / Pirate Metrics","Воронка Acquisition Activation Retention Referral Revenue",imported_mvp_metrics_course,per_project,imported,
mvp_course,activation_rate,"Activation Rate","Доля пользователей, достигших первого события ценности",imported_mvp_metrics_course,per_project,imported,
mvp_course,conversion_rate,"Conversion Rate","Переход пользователя из одного состояния в другое",imported_mvp_metrics_course,per_project,imported,
mvp_course,funnel_dropoff_rate,"Funnel Drop-off Rate","Потери пользователей между шагами воронки",imported_mvp_metrics_course,per_project,imported,
mvp_course,retention_rate,"Retention Rate","Возвращение пользователей после первого контакта",imported_mvp_metrics_course,per_project,imported,
mvp_course,cohort_analysis,"Cohort Analysis","Сравнение поведения когорт разных периодов",imported_mvp_metrics_course,per_project,imported,
mvp_course,churn_rate,"Churn Rate","Потеря пользователей или выручки за период",imported_mvp_metrics_course,per_project,imported,
mvp_course,active_users_dau_wau_mau,"DAU WAU MAU","Размер живой аудитории продукта",imported_mvp_metrics_course,per_project,imported,
mvp_course,stickiness_dau_mau,"Stickiness DAU/MAU","Привычность продукта для месячной аудитории",imported_mvp_metrics_course,per_project,imported,
mvp_course,feature_adoption_rate,"Feature Adoption Rate","Использование новой функции после релиза",imported_mvp_metrics_course,per_project,imported,
mvp_course,cac,"Customer Acquisition Cost","Стоимость привлечения одного нового платящего клиента",imported_mvp_metrics_course,per_project,imported,
mvp_course,ltv_clv,"Lifetime Value / CLV","Оценка будущей выручки или прибыли от клиента",imported_mvp_metrics_course,per_project,imported,
mvp_course,ltv_to_cac,"LTV:CAC Ratio","Соотношение ценности клиента и стоимости привлечения",imported_mvp_metrics_course,per_project,imported,
mvp_course,cac_payback,"CAC Payback Period","Срок возврата затрат на привлечение клиента",imported_mvp_metrics_course,per_project,imported,
mvp_course,arpu_arpa_arppu,"ARPU ARPA ARPPU","Средний уровень монетизации",imported_mvp_metrics_course,per_project,imported,
mvp_course,mrr_arr,"MRR ARR","Предсказуемая подписочная выручка",imported_mvp_metrics_course,per_project,imported,
mvp_course,trial_to_paid,"Trial-to-Paid Conversion","Переход из trial в платящую подписку",imported_mvp_metrics_course,per_project,imported,
mvp_course,nrr_grr,"NRR GRR","Удержание и расширение выручки существующих клиентов",imported_mvp_metrics_course,per_project,imported,
mvp_course,nps_csat_ces,"NPS CSAT CES","Лояльность, удовлетворенность и усилие пользователя",imported_mvp_metrics_course,per_project,imported,
